Antecedent,Consequent,confidence,lift,support
"('1138',)","('1142',)",0.610655737704918,12.547720637772287,0.024833333333333332
"('1696',)","('3828',)",0.6695278969957081,12.896203473432582,0.026
"('2019',)","('4473',)",0.6256983240223464,13.126538266203072,0.028
"('2064',)","('2828',)",0.6772388059701493,6.156716417910448,0.03025
"('3623',)","('2568',)",0.8294736842105264,14.425629290617849,0.03283333333333333
"('3970',)","('2568',)",0.7289325842696629,12.677088422081093,0.04325
"('2568',)","('3970',)",0.7521739130434782,12.677088422081093,0.04325
"('2670',)","('2671',)",0.6055363321799307,9.280250301608135,0.029166666666666667
"('2816',)","('2828',)",0.6302931596091205,5.729937814628369,0.03225
"('2823',)","('2828',)",0.6090225563909775,5.536568694463432,0.02025
"('2826',)","('2828',)",0.6800976800976801,6.182706182706183,0.04641666666666667
"('2827',)","('2828',)",0.6041666666666666,5.492424242424243,0.029
"('2829',)","('2828',)",0.6919191919191919,6.290174471992654,0.022833333333333334
"('2831',)","('2828',)",0.6485849056603774,5.896226415094339,0.022916666666666665
"('2832',)","('2828',)",0.6300884955752213,5.728077232502011,0.029666666666666668
"('2833',)","('2828',)",0.6701030927835051,6.091846298031865,0.021666666666666667
"('2838',)","('2828',)",0.6282722513089005,5.7115659209900045,0.03
"('3623',)","('3970',)",0.7873684210526316,13.270254287403901,0.031166666666666665
"('4514',)","('3828',)",0.6376811594202898,12.282783167003977,0.025666666666666667
"('4305',)","('4258',)",0.689119170984456,11.763058395182748,0.022166666666666668
"('4305',)","('4304',)",0.6813471502590673,25.39181926431307,0.021916666666666668
"('4304',)","('4305',)",0.8167701863354038,25.39181926431307,0.021916666666666668
"('1615',)","('4869',)",0.7218934911242604,5.599690946018826,0.02033333333333333
"('3804',)","('4869',)",0.6681922196796338,5.183132925763158,0.024333333333333332
"('3623', '3970')","('2568',)",0.9224598930481284,16.0427807486631,0.02875
"('2568', '3970')","('3623',)",0.6647398843930635,16.79342865835108,0.02875
"('2568', '3623')","('3970',)",0.8756345177664975,14.757885130896025,0.02875
"('3623',)","('2568', '3970')",0.7263157894736842,16.79342865835108,0.02875
"('3873', '3970')","('2568',)",0.7818696883852692,13.597733711048159,0.023
"('2568', '3873')","('3970',)",0.7931034482758621,13.366912049593182,0.023
"('2826', '2839')","('2828',)",0.7891566265060241,7.174151150054764,0.021833333333333333
"('2826', '2841')","('2828',)",0.7802197802197802,7.092907092907093,0.023666666666666666
"('2839', '2841')","('2828',)",0.7211796246648794,6.556178406044358,0.022416666666666668
